2024-07-30 21:23:23 configure systemd:amd64 252.26-1~deb12u2 <none>
2024-07-30 21:23:23 status unpacked systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:23 status half-configured systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:23 status installed systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:23 configure dmsetup:amd64 2:1.02.185-2 <none>
2024-07-30 21:23:23 status unpacked dmsetup:amd64 2:1.02.185-2
2024-07-30 21:23:23 status half-configured dmsetup:amd64 2:1.02.185-2
2024-07-30 21:23:23 status installed dmsetup:amd64 2:1.02.185-2
2024-07-30 21:23:23 startup archives unpack
2024-07-30 21:23:23 install systemd-sysv:amd64 <none> 252.26-1~deb12u2
2024-07-30 21:23:23 status half-installed systemd-sysv:amd64 252.26-1~deb12u2
2024-07-30 21:23:23 status unpacked systemd-sysv:amd64 252.26-1~deb12u2
2024-07-30 21:23:23 install libdbus-1-3:amd64 <none> 1.14.10-1~deb12u1
2024-07-30 21:23:23 status half-installed libdbus-1-3:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:23 status unpacked libdbus-1-3:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:23 install dbus-bin:amd64 <none> 1.14.10-1~deb12u1
2024-07-30 21:23:23 status half-installed dbus-bin:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:23 status unpacked dbus-bin:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:23 install dbus-session-bus-common:all <none> 1.14.10-1~deb12u1
2024-07-30 21:23:23 status half-installed dbus-session-bus-common:all 1.14.10-1~deb12u1
2024-07-30 21:23:23 status unpacked dbus-session-bus-common:all 1.14.10-1~deb12u1
2024-07-30 21:23:23 install libexpat1:amd64 <none> 2.5.0-1
2024-07-30 21:23:23 status half-installed libexpat1:amd64 2.5.0-1
2024-07-30 21:23:23 status unpacked libexpat1:amd64 2.5.0-1
2024-07-30 21:23:23 install dbus-daemon:amd64 <none> 1.14.10-1~deb12u1
2024-07-30 21:23:23 status half-installed dbus-daemon:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:23 status unpacked dbus-daemon:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:23 install dbus-system-bus-common:all <none> 1.14.10-1~deb12u1
2024-07-30 21:23:23 status half-installed dbus-system-bus-common:all 1.14.10-1~deb12u1
